City,Locality,rating,votes,cost,Total_Restaurants,votes_log,votes_per_restaurant,cost_per_vote,Cluster_ID,Strategic_Persona
Agra,Agra Cantt,3.6666666666666665,305,683.3333333333334,3,5.723585101952381,101.66666666666667,2.233115468409586,1,Emerging / Low Visibility ⚠️
Agra,Civil Lines,4.1,264,700.0,2,5.579729825986222,132.0,2.641509433962264,2,Premium Quality Zone 💎
Agra,"Courtyard by Marriott Agra, Tajganj",4.0,45,2000.0,1,3.828641396489095,45.0,43.47826086956522,2,Premium Quality Zone 💎
Agra,"ITC Mughal, Tajganj",4.15,174,2500.0,2,5.1647859739235145,87.0,14.285714285714286,2,Premium Quality Zone 💎
Agra,Khandari,3.6,59,800.0,1,4.0943445622221,59.0,13.333333333333334,1,Emerging / Low Visibility ⚠️
Agra,"Radisson Blu, Tajganj",3.8499999999999996,149,1800.0,2,5.0106352940962555,74.5,12.0,2,Premium Quality Zone 💎
Agra,Rakabganj,4.1,121,550.0,1,4.804021044733257,121.0,4.508196721311475,2,Premium Quality Zone 💎
Agra,Tajganj,4.05,945,737.5,8,6.852242569051878,118.125,0.7795983086680761,2,Premium Quality Zone 💎
Ahmedabad,Ambavadi,4.2,1582,900.0,1,7.367077059881012,1582.0,0.5685407454200885,3,High Demand Hotspot 🔥
Ahmedabad,Ashram Road,3.7,1315,1800.0,1,7.182352111885263,1315.0,1.3677811550151975,3,High Demand Hotspot 🔥
Ahmedabad,Bodakdev,4.34,2774,700.0,5,7.928406026180535,554.8,0.25225225225225223,2,Premium Quality Zone 💎
Ahmedabad,C G Road,3.8,63,1000.0,1,4.1588830833596715,63.0,15.625,2,Premium Quality Zone 💎
Ahmedabad,"Courtyard By Marriott, Satellite",3.6,375,1400.0,1,5.929589143389895,375.0,3.723404255319149,2,Premium Quality Zone 💎
Ahmedabad,Ellis Bridge,4.5,863,400.0,2,6.761572768804055,431.5,0.46296296296296297,2,Premium Quality Zone 💎
Ahmedabad,Ghatlodia,4.3,325,900.0,1,5.786897381366708,325.0,2.7607361963190185,2,Premium Quality Zone 💎
Ahmedabad,Gurukul,4.05,1176,650.0,2,7.0707241072602764,588.0,0.5522514868309261,2,Premium Quality Zone 💎
Ahmedabad,Navrangpura,4.2,721,650.0,2,6.582025138892826,360.5,0.9002770083102493,2,Premium Quality Zone 💎
Ahmedabad,Prahlad Nagar,4.5,1138,950.0,1,7.037905963447182,1138.0,0.8340649692712906,3,High Demand Hotspot 🔥
Ahmedabad,Thaltej,4.1,1041,1200.0,1,6.948897222313312,1041.0,1.1516314779270633,3,High Demand Hotspot 🔥
Ahmedabad,"The Fern, Sola",4.1,192,1200.0,1,5.262690188904886,192.0,6.217616580310881,2,Premium Quality Zone 💎
Ahmedabad,Vastrapur,3.95,701,875.0,2,6.553933404025811,350.5,1.2464387464387465,2,Premium Quality Zone 💎
Allahabad,Civil Lines,3.3944444444444444,1200,508.3333333333333,18,7.0909098220799835,66.66666666666667,0.4232583957812934,1,Emerging / Low Visibility ⚠️
Allahabad,Tagore Town,3.5,134,400.0,1,4.90527477843843,134.0,2.962962962962963,1,Emerging / Low Visibility ⚠️
Allahabad,"Vinayak City Centre Mall, Civil Lines",3.3,58,800.0,1,4.07753744390572,58.0,13.559322033898304,1,Emerging / Low Visibility ⚠️
Amritsar,Basant Nagar,3.65,496,500.0,2,6.208590026096629,248.0,1.0060362173038229,1,Emerging / Low Visibility ⚠️
Amritsar,Hathi Gate,4.0,52,100.0,1,3.970291913552122,52.0,1.8867924528301887,1,Emerging / Low Visibility ⚠️
Amritsar,INA Colony,3.5,269,416.6666666666667,3,5.598421958998375,89.66666666666667,1.5432098765432098,1,Emerging / Low Visibility ⚠️
Amritsar,Ranjit Avenue,3.56,492,600.0,5,6.20050917404269,98.4,1.2170385395537526,1,Emerging / Low Visibility ⚠️
Amritsar,Town Hall,3.7714285714285714,1928,442.85714285714283,7,7.564757012905729,275.42857142857144,0.22957861216026068,1,Emerging / Low Visibility ⚠️
Amritsar,White Avenue,3.7999999999999994,428,550.0,3,6.061456918928017,142.66666666666666,1.2820512820512822,1,Emerging / Low Visibility ⚠️
Aurangabad,Akashwani,3.6,240,800.0,1,5.484796933490655,240.0,3.319502074688797,1,Emerging / Low Visibility ⚠️
Aurangabad,CIDCO,3.3285714285714287,415,700.0,7,6.030685260261263,59.285714285714285,1.6826923076923077,1,Emerging / Low Visibility ⚠️
Aurangabad,Chicalthana,3.3,65,850.0,1,4.189654742026425,65.0,12.878787878787879,1,Emerging / Low Visibility ⚠️
Aurangabad,"Hotel Green Olive, Nirala Bazar",3.6,73,1000.0,1,4.30406509320417,73.0,13.513513513513514,2,Premium Quality Zone 💎
Aurangabad,Mondha,3.5,21,300.0,1,3.091042453358316,21.0,13.636363636363637,1,Emerging / Low Visibility ⚠️
Aurangabad,Nirala Bazar,3.425,214,500.0,4,5.3706380281276624,53.5,2.3255813953488373,1,Emerging / Low Visibility ⚠️
Aurangabad,Nyay Nagar,3.2,8,400.0,1,2.1972245773362196,8.0,44.44444444444444,0,Overpriced / Low Efficiency ❌
Aurangabad,"Prozone Mall, Chicalthana",3.4,39,650.0,1,3.6888794541139363,39.0,16.25,1,Emerging / Low Visibility ⚠️
Aurangabad,Shahgunj,3.3,74,600.0,1,4.31748811353631,74.0,8.0,1,Emerging / Low Visibility ⚠️
Aurangabad,Usmanpura,3.3,147,475.0,2,4.997212273764115,73.5,3.2094594594594597,1,Emerging / Low Visibility ⚠️
Bangalore,"BluPetal Hotel, Koramangala",4.1,2416,1300.0,1,7.790282380703483,2416.0,0.5378568473314026,3,High Demand Hotspot 🔥
Bangalore,Indiranagar,4.316666666666666,19834,1433.3333333333333,6,9.89520333294843,3305.6666666666665,0.07226283505587765,3,High Demand Hotspot 🔥
Bangalore,JP Nagar,4.6,781,600.0,1,6.661854740545311,781.0,0.7672634271099744,2,Premium Quality Zone 💎
Bangalore,Koramangala 5th Block,4.5,15328,1050.0,3,9.637501738166108,5109.333333333333,0.06849761889229565,3,High Demand Hotspot 🔥
Bangalore,Koramangala 6th Block,4.3,753,400.0,1,6.625392368007956,753.0,0.5305039787798409,2,Premium Quality Zone 💎
Bangalore,Koramangala 7th Block,4.5,1288,1500.0,1,7.161622002939187,1288.0,1.1636927851047323,3,High Demand Hotspot 🔥
Bangalore,Marathahalli,4.5,7890,1300.0,2,8.973478148521036,3945.0,0.16474464579901152,3,High Demand Hotspot 🔥
Bangalore,New BEL Road,4.6,627,600.0,1,6.4425401664681985,627.0,0.9554140127388535,2,Premium Quality Zone 💎
Bangalore,Residency Road,4.2,334,1200.0,1,5.814130531825066,334.0,3.582089552238806,2,Premium Quality Zone 💎
Bangalore,Sarjapur Road,4.2,6110,1600.0,2,8.717845704894916,3055.0,0.2618229422353134,3,High Demand Hotspot 🔥
Bangalore,UB City,4.4,754,1500.0,1,6.626717749249025,754.0,1.9867549668874172,2,Premium Quality Zone 💎
Bhopal,Arera Colony,3.94,890,450.0,5,6.792344427470809,178.0,0.5050505050505051,1,Emerging / Low Visibility ⚠️
Bhopal,"DB City, Maharana Pratap Nagar",4.033333333333333,478,883.3333333333334,3,6.171700597410915,159.33333333333334,1.8441196938065414,2,Premium Quality Zone 💎
Bhopal,Gulmohar Colony,3.8,98,600.0,1,4.59511985013459,98.0,6.0606060606060606,1,Emerging / Low Visibility ⚠️
Bhopal,Kohefiza,3.8,33,500.0,1,3.5263605246161616,33.0,14.705882352941176,1,Emerging / Low Visibility ⚠️
Bhopal,Maharana Pratap Nagar,3.84,652,460.0,5,6.481577129276431,130.4,0.7044410413476263,1,Emerging / Low Visibility ⚠️
Bhopal,Peer Gate Area,4.1,238,400.0,1,5.476463551931511,238.0,1.6736401673640167,2,Premium Quality Zone 💎
Bhopal,Sayaji Hotel,4.3,128,1800.0,1,4.859812404361672,128.0,13.953488372093023,2,Premium Quality Zone 💎
Bhopal,TT Nagar,4.0,360,633.3333333333334,3,5.8888779583328805,120.0,1.7543859649122808,2,Premium Quality Zone 💎
Bhubaneshwar,"BMC Bhawani Mall, Sahid Nagar",4.0,668,525.0,2,6.505784060128229,334.0,0.7847533632286996,2,Premium Quality Zone 💎
Bhubaneshwar,Chandrasekharpur,4.25,691,700.0,4,6.539585955617669,172.75,1.0115606936416186,2,Premium Quality Zone 💎
Bhubaneshwar,Gajapati Nagar,3.7,118,850.0,1,4.77912349311153,118.0,7.142857142857143,2,Premium Quality Zone 💎
Bhubaneshwar,"Mayfair Lagoon, Jayadev Vihar",4.1,256,1400.0,1,5.54907608489522,256.0,5.447470817120623,2,Premium Quality Zone 💎
Bhubaneshwar,Patia,3.888888888888889,1971,538.8888888888889,9,7.586803535162581,219.0,0.2732702276312824,1,Emerging / Low Visibility ⚠️
Bhubaneshwar,Sahid Nagar,4.0,105,700.0,2,4.663439094112067,52.5,6.60377358490566,2,Premium Quality Zone 💎
Bhubaneshwar,"The Crown, Nayapalli",4.3,345,1500.0,1,5.846438775057725,345.0,4.335260115606936,2,Premium Quality Zone 💎
Bhubaneshwar,Unit 4,3.5,89,400.0,1,4.499809670330265,89.0,4.444444444444445,1,Emerging / Low Visibility ⚠️
Chandigarh,Chandigarh Industrial Area,3.7,665,850.0,1,6.501289670540389,665.0,1.2762762762762763,2,Premium Quality Zone 💎
Chandigarh,"Elante Mall, Chandigarh Industrial Area",4.12,3396,1440.0,5,8.130647968160584,679.2,0.42390344421548426,2,Premium Quality Zone 💎
Chandigarh,Sector 26,4.4,1678,1550.0,2,7.425953657077541,839.0,0.9231685527099464,2,Premium Quality Zone 💎
Chandigarh,Sector 28,3.8,982,700.0,1,6.890609120147166,982.0,0.7121057985757884,2,Premium Quality Zone 💎
Chandigarh,Sector 35,3.96,2114,670.0,5,7.656810091480378,422.8,0.31678486997635935,2,Premium Quality Zone 💎
Chandigarh,Sector 7,3.85,903,1500.0,2,6.806829360392176,451.5,1.6592920353982301,2,Premium Quality Zone 💎
Chandigarh,Sector 8,4.25,605,550.0,2,6.406879986069314,302.5,0.9075907590759076,2,Premium Quality Zone 💎
Chennai,Adyar,4.2,1810,800.0,1,7.501634457883413,1810.0,0.4417448923246825,3,High Demand Hotspot 🔥
Chennai,Anna Nagar East,4.1,2023,775.0,2,7.6128310304073565,1011.5,0.38290513833992096,3,High Demand Hotspot 🔥
Chennai,Ashok Nagar,4.2,841,850.0,1,6.7357800142423265,841.0,1.009501187648456,2,Premium Quality Zone 💎
Chennai,"Express Avenue Mall,  Royapettah",4.8,1262,1700.0,1,7.141245122350491,1262.0,1.3460015835312746,3,High Demand Hotspot 🔥
Chennai,Gopalapuram,4.2,191,450.0,1,5.2574953720277815,191.0,2.34375,2,Premium Quality Zone 💎
Chennai,Kilpauk,4.6,1510,350.0,1,7.32052696227274,1510.0,0.2316346790205162,3,High Demand Hotspot 🔥
Chennai,Kotturpuram,4.1,1004,1100.0,1,6.912742820493176,1004.0,1.0945273631840795,3,High Demand Hotspot 🔥
Chennai,Mylapore,4.0,1820,1500.0,1,7.507141079727608,1820.0,0.8237232289950577,3,High Demand Hotspot 🔥
Chennai,Nungambakkam,4.4,3467,1100.0,2,8.151333337900432,1733.5,0.31718569780853517,3,High Demand Hotspot 🔥
Chennai,Perungudi,3.8,1317,900.0,1,7.183870715062453,1317.0,0.6828528072837633,3,High Demand Hotspot 🔥
Chennai,RA Puram,4.3,1607,1200.0,1,7.382746449738912,1607.0,0.746268656716418,3,High Demand Hotspot 🔥
Chennai,Ramapuram,4.4,645,850.0,1,6.470799503782602,645.0,1.3157894736842106,2,Premium Quality Zone 💎
Chennai,Santhome,4.3,742,850.0,1,6.610696044717759,742.0,1.1440107671601616,2,Premium Quality Zone 💎
Chennai,T. Nagar,4.45,5058,1750.0,2,8.528924114291936,2529.0,0.34591816564538447,3,High Demand Hotspot 🔥
Chennai,Velachery,4.5,4398,1300.0,3,8.389132521348719,1466.0,0.29552170947942713,3,High Demand Hotspot 🔥
Coimbatore,Gandhipuram,4.6,202,800.0,1,5.313205979041787,202.0,3.9408866995073892,2,Premium Quality Zone 💎
Coimbatore,Peelamedu,3.9200000000000004,1106,660.0,5,7.009408932708637,221.2,0.5962059620596206,2,Premium Quality Zone 💎
Coimbatore,Podanur,3.8,24,450.0,1,3.2188758248682006,24.0,18.0,1,Emerging / Low Visibility ⚠️
Coimbatore,RS Puram,4.25,524,900.0,2,6.263398262591624,262.0,1.7142857142857142,2,Premium Quality Zone 💎
Coimbatore,Race Course,4.057142857142857,1276,935.7142857142857,7,7.152268856032539,182.28571428571428,0.7327441548271618,2,Premium Quality Zone 💎
Coimbatore,"SMS Hotel, Peelamedu",4.3,161,300.0,1,5.087596335232384,161.0,1.8518518518518519,2,Premium Quality Zone 💎
Coimbatore,Saibaba Colony,4.550000000000001,421,525.0,2,6.045005314036012,210.5,1.2440758293838863,2,Premium Quality Zone 💎
Coimbatore,Town Hall,4.4,505,1400.0,1,6.226536669287466,505.0,2.766798418972332,2,Premium Quality Zone 💎
Dehradun,Chukkuwala,3.7,217,650.0,2,5.384495062789089,108.5,2.981651376146789,1,Emerging / Low Visibility ⚠️
Dehradun,Hathibarkala Salwala,4.0,720,800.0,3,6.580639137284949,240.0,1.1095700416088765,2,Premium Quality Zone 💎
Dehradun,Jakhan,4.3999999999999995,211,916.6666666666666,3,5.356586274672012,70.33333333333333,4.323899371069182,2,Premium Quality Zone 💎
Dehradun,Karanpur,3.9,324,525.0,2,5.783825182329737,162.0,1.6153846153846154,1,Emerging / Low Visibility ⚠️
Dehradun,Krishna Nagar,4.1,64,350.0,1,4.174387269895637,64.0,5.384615384615385,2,Premium Quality Zone 💎
Dehradun,Malsi,3.9,131,700.0,1,4.882801922586371,131.0,5.303030303030303,2,Premium Quality Zone 💎
Dehradun,"Pacific Mall, Jakhan",3.9,101,600.0,1,4.624972813284271,101.0,5.882352941176471,2,Premium Quality Zone 💎
Dehradun,Paltan Bazaar,3.9,121,600.0,1,4.804021044733257,121.0,4.918032786885246,2,Premium Quality Zone 💎
Dehradun,Race Course,3.9,39,400.0,1,3.6888794541139363,39.0,10.0,1,Emerging / Low Visibility ⚠️
Dehradun,Rajpur,4.18,502,880.0,5,6.220590170099739,100.4,1.7495029821073558,2,Premium Quality Zone 💎
Faridabad,Badarpur Border,2.8666666666666667,47,241.66666666666666,6,3.871201010907891,7.833333333333333,5.034722222222222,1,Emerging / Low Visibility ⚠️
Faridabad,Charmwood Village,2.9333333333333336,22,316.6666666666667,3,3.1354942159291497,7.333333333333333,13.768115942028986,1,Emerging / Low Visibility ⚠️
Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",3.422222222222222,1600,866.6666666666666,9,7.3783837129967145,177.77777777777777,0.5413283364563815,1,Emerging / Low Visibility ⚠️
Faridabad,"Crown Plaza Mall, Sector 15, Faridabad",2.925,105,600.0,4,4.663439094112067,26.25,5.660377358490566,1,Emerging / Low Visibility ⚠️
Faridabad,"Eldeco Station 1 Mall, Sector 12, Faridabad",2.8,12,250.0,1,2.5649493574615367,12.0,19.23076923076923,0,Overpriced / Low Efficiency ❌
Faridabad,"Park Plaza, Sector 21, Faridabad",3.0,15,1000.0,1,2.772588722239781,15.0,62.5,0,Overpriced / Low Efficiency ❌
Faridabad,"Parsavnath City Mall, Sector 12, Faridabad",3.0,27,500.0,2,3.332204510175204,13.5,17.857142857142858,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 10,2.98,62,450.0,5,4.143134726391533,12.4,7.142857142857143,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 11,2.95,89,562.5,4,4.499809670330265,22.25,6.25,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 12,3.0,35,850.0,2,3.58351893845611,17.5,23.61111111111111,0,Overpriced / Low Efficiency ❌
Faridabad,Sector 15,3.429032258064516,2601,485.48387096774195,31,7.86403565907245,83.90322580645162,0.18658104187845578,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 16,3.033333333333333,154,416.6666666666667,9,5.043425116919247,17.11111111111111,2.688172043010753,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 17,2.9222222222222225,322,466.6666666666667,9,5.777652323222656,35.77777777777778,1.4447884416924666,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 19,3.15,225,450.0,2,5.420534999272286,112.5,1.991150442477876,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 21,2.925,43,212.5,4,3.784189633918261,10.75,4.829545454545454,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 28,2.75,20,425.0,2,3.044522437723423,10.0,20.238095238095237,0,Overpriced / Low Efficiency ❌
Faridabad,Sector 29,3.1,9,100.0,1,2.302585092994046,9.0,10.0,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 31,3.033333333333333,20,466.6666666666667,3,3.044522437723423,6.666666666666667,22.22222222222222,0,Overpriced / Low Efficiency ❌
Faridabad,Sector 34,2.7,57,600.0,2,4.060443010546419,28.5,10.344827586206897,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 37,3.0300000000000002,264,440.0,10,5.579729825986222,26.4,1.6603773584905661,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 41,3.0,4,500.0,1,1.6094379124341003,4.0,100.0,0,Overpriced / Low Efficiency ❌
Faridabad,Sector 43,2.95,23,525.0,4,3.1780538303479458,5.75,21.875,0,Overpriced / Low Efficiency ❌
Faridabad,Sector 46,3.0666666666666664,155,533.3333333333334,3,5.049856007249537,51.666666666666664,3.418803418803419,1,Emerging / Low Visibility ⚠️
Faridabad,Sector 7,2.95,81,306.25,8,4.406719247264253,10.125,3.7347560975609757,1,Emerging / Low Visibility ⚠️
